,true,pred
2023-09-01,296.3800048828125,296.5782569013239
2023-09-02,297.32250213623047,298.22773577468297
2023-09-03,298.26499938964844,299.48364030098094
2023-09-04,299.2074966430664,299.98513057168987
2023-09-05,300.1499938964844,300.5457431984041
2023-09-06,299.1700134277344,299.2066482769323
2023-09-07,298.6700134277344,301.47296903834115
2023-09-08,297.8900146484375,302.78304738502794
2023-09-09,301.11334228515625,304.47554832394337
2023-09-10,304.33666992187494,306.23968618850967
2023-09-11,307.5599975585937,308.0636217671721
2023-09-12,301.6600036621094,304.0061321574764
2023-09-13,305.0599975585937,306.1125201002307
2023-09-14,311.7200012207031,310.7679198304004
2023-09-15,300.3099975585937,301.98910618280024
2023-09-16,301.05666097005206,302.0749835213395
2023-09-17,301.8033243815104,302.32241972196135
2023-09-18,302.54998779296875,302.75933986042446
2023-09-19,305.07000732421875,303.76669354720633
2023-09-20,299.6700134277344,303.3244463682965
2023-09-21,295.7300109863281,298.27498627432703
2023-09-22,299.0799865722656,303.7869813612602
2023-09-23,299.66331990559894,302.16402720900305
2023-09-24,300.2466532389323,300.6031627569805
2023-09-25,300.8299865722656,299.09849457921763
2023-09-26,298.9599914550781,299.3025527912573
2023-09-27,297.739990234375,291.16077148952604
2023-09-28,303.9599914550781,303.54867578797905
2023-09-29,300.2099914550781,303.7903552597765
2023-09-30,302.413330078125,304.4484050679292
2023-10-01,304.6166687011719,305.19423193614915
2023-10-02,306.82000732421875,305.9753405037972
2023-10-03,300.94000244140625,303.1302783134359
2023-10-04,305.5799865722656,305.7520635497466
2023-10-05,304.7900085449219,302.6185454281501
2023-10-06,315.42999267578125,313.51080572442186
2023-10-07,316.4066569010417,315.32102037186917
2023-10-08,317.38332112630206,317.119478258398
2023-10-09,318.3599853515625,318.9382750438752
2023-10-10,321.8399963378906,323.22004660785984
2023-10-11,327.82000732421875,327.8971350352217
2023-10-12,324.1600036621094,325.952630611703
2023-10-13,314.69000244140625,316.26595674953205
2023-10-14,316.8433329264323,317.15832174600837
2023-10-15,318.9966634114583,318.1337550804906
2023-10-16,321.1499938964844,319.1806112174094
2023-10-17,324.0,322.98083624264825
2023-10-18,316.9700012207031,321.03276765122126
2023-10-19,312.8099975585937,315.8105620168619
2023-10-20,308.6499938964844,309.69801651488706
2023-10-21,310.43666585286456,311.1394160263334
2023-10-22,312.2233378092448,312.7528481402551
2023-10-23,314.010009765625,314.49474036647223
2023-10-24,312.54998779296875,313.7020145319783
2023-10-25,299.5299987792969,302.41012241347585
2023-10-26,288.3500061035156,283.35877459652727
2023-10-27,296.7300109863281,297.14868600442924
2023-10-28,298.70667521158856,300.32510394500775
2023-10-29,300.68333943684894,303.7045194743034
2023-10-30,302.6600036621094,307.2973344238375
2023-10-31,301.2699890136719,299.1438608314414
2023-11-01,311.8500061035156,311.0398523179095
2023-11-02,310.8699951171875,311.2747282426198
2023-11-03,314.6000061035156,313.7684287962826
2023-11-04,315.0,314.7789101970359
2023-11-05,315.3999938964844,315.80348992976366
2023-11-06,315.79998779296875,316.8670808185383
2023-11-07,318.82000732421875,318.9194789648218
2023-11-08,319.7799987792969,318.6108538430375
2023-11-09,320.54998779296875,323.1880399898595
2023-11-10,328.7699890136719,327.46496676665004
2023-11-11,328.9099934895833,328.89501928278423
2023-11-12,329.0499979654948,330.2527661321211
2023-11-13,329.19000244140625,331.5503004679591
2023-11-14,336.3099975585937,337.01048376599346
2023-11-15,332.7099914550781,332.5053943848663
2023-11-16,334.19000244140625,331.8217422331587
2023-11-17,335.0400085449219,334.3935316221474
2023-11-18,336.68333943684894,336.4286250574538
2023-11-19,338.32667032877606,338.4447357343802
2023-11-20,339.9700012207031,340.4071405473192
2023-11-21,336.9800109863281,338.2769039698341
2023-11-22,341.489990234375,342.2223770484128
2023-11-23,339.8600006103516,340.8776838433406
2023-11-24,338.2300109863281,339.46876571003077
2023-11-25,337.0533447265625,339.0412454045939
2023-11-26,335.8766784667969,338.6086264892922
2023-11-27,334.70001220703125,338.20304623837626
2023-11-28,338.989990234375,338.8850490075946
2023-11-29,332.20001220703125,333.44155095047205
2023-11-30,327.1499938964844,326.51168994949677
2023-12-01,324.82000732421875,323.77881926600327
2023-12-02,323.2200012207031,321.8686532902716
2023-12-03,321.6199951171875,319.9779276890103
2023-12-04,320.0199890136719,318.1710584415454
2023-12-05,318.2900085449219,319.39260772526535
2023-12-06,317.45001220703125,319.14064154101595
2023-12-07,326.5899963378906,326.88950591851597
2023-12-08,332.75,331.72216689493393
2023-12-09,330.25999959309894,328.92544175933233
2023-12-10,327.76999918619794,326.0293671810687
2023-12-11,325.2799987792969,323.0152606573438
2023-12-12,334.2200012207031,333.0113863322605
2023-12-13,334.739990234375,336.7255453903783
2023-12-14,333.1700134277344,331.04611764126184
2023-12-15,334.9200134277344,337.48811918248026
2023-12-16,338.15334065755206,340.4068251593842
2023-12-17,341.3866678873698,343.25478717184154
2023-12-18,344.6199951171875,346.0599447450421
2023-12-19,350.3599853515625,352.4169593943168
2023-12-20,349.2799987792969,353.80467459988995
2023-12-21,354.0899963378906,353.50439326805775
2023-12-22,353.3900146484375,354.092553163873
2023-12-23,353.75000762939453,354.5392657225267
2023-12-24,354.1100006103516,354.98627843966295
2023-12-25,354.4699935913086,355.4613237923048
2023-12-26,354.8299865722656,356.01047638306807
2023-12-27,357.8299865722656,358.4451368013075
2023-12-28,358.32000732421875,360.59733193508157
2023-12-29,353.9599914550781,354.88550215321845
2023-12-30,352.04249572753906,352.3037271075821
2023-12-31,350.125,349.66209300587303
2024-01-01,348.20750427246094,347.17272173191196
2024-01-02,346.2900085449219,344.56298536388846
2024-01-03,344.4700012207031,346.75751645703383
2024-01-04,347.1199951171875,347.5171001354008
2024-01-05,351.95001220703125,352.4932453689166
2024-01-06,354.1866760253906,353.98473940334844
2024-01-07,356.42333984375,355.4466939892708
2024-01-08,358.6600036621094,356.9100844181688
2024-01-09,357.42999267578125,359.69962593698887
2024-01-10,370.4700012207031,369.85662180438953
2024-01-11,369.6700134277344,365.67549503140503
2024-01-12,374.489990234375,375.43662631424775
2024-01-13,372.7324905395508,374.30360826843037
2024-01-14,370.97499084472656,373.09584461177377
2024-01-15,369.2174911499024,371.8322163687161
2024-01-16,367.4599914550781,370.4981787290807
2024-01-17,368.3699951171875,363.0667231820256
2024-01-18,376.1300048828125,376.1817964383917
2024-01-19,383.4500122070313,383.33018663169406
2024-01-20,382.8933410644532,384.1483596442839
2024-01-21,382.336669921875,384.76816632056625
2024-01-22,381.7799987792969,385.21379236949593
2024-01-23,385.2000122070313,386.2852719842119
2024-01-24,390.7000122070313,393.37520729701356
2024-01-25,393.1799926757813,391.2108914089215
2024-01-26,394.1400146484375,394.5050650681258
2024-01-27,396.43333943684894,396.4793415231149
2024-01-28,398.7266642252605,398.3979142808324
2024-01-29,401.0199890136719,400.2641236928108
2024-01-30,400.05999755859375,402.81261063123986
2024-01-31,390.1400146484375,395.2953820137311
2024-02-01,394.7799987792969,398.9213673027443
2024-02-02,474.989990234375,472.1633243559236
2024-02-03,469.7966613769531,468.9319118755616
2024-02-04,464.6033325195313,465.25603298673377
2024-02-05,459.4100036621094,461.18259519042164
2024-02-06,454.7200012207031,455.7445015262487
2024-02-07,469.5899963378906,464.75474863158956
2024-02-08,470.0,464.53570930973245
2024-02-09,468.1099853515625,467.1684910495566
2024-02-10,468.3733215332031,470.107982978779
2024-02-11,468.63665771484375,472.68755824452046
2024-02-12,468.8999938964844,474.95953001240184
2024-02-13,460.1199951171875,463.9613210702587
2024-02-14,473.2799987792969,471.0152750023942
2024-02-15,484.0299987792969,482.90412014094574
2024-02-16,473.3200073242188,471.4764465933992
2024-02-17,472.9275054931641,471.60371778505885
2024-02-18,472.5350036621094,471.66627105159637
2024-02-19,472.1425018310547,471.69333087114484
2024-02-20,471.75,471.4516845643571
2024-02-21,468.0299987792969,464.1185383963033
2024-02-22,486.1300048828125,483.97794307052
2024-02-23,484.0299987792969,487.93436963051937
2024-02-24,483.26666259765625,486.56575507381916
2024-02-25,482.5033264160156,485.0789368156535
2024-02-26,481.739990234375,483.474021719351
2024-02-27,487.0499877929688,486.0601122911557
2024-02-28,484.0199890136719,488.1068821835645
2024-02-29,490.1300048828125,486.9073505643695
2024-03-01,502.2999877929688,501.92792922194656
2024-03-02,500.9299926757813,501.29898548259916
2024-03-03,499.5599975585938,500.4989978163493
2024-03-04,498.1900024414063,499.46591871000834
2024-03-05,490.2200012207031,490.7228506030252
2024-03-06,496.0899963378906,499.75053134262964
2024-03-07,512.1900024414062,515.0436523580975
2024-03-08,505.9500122070313,510.0820722426472
2024-03-09,498.4966735839844,500.7613702880723
2024-03-10,491.0433349609375,491.195264460416
2024-03-11,483.5899963378906,481.43041514084325
2024-03-12,499.75,494.1348395653755
2024-03-13,495.5700073242188,496.75435350815667
2024-03-14,491.8299865722656,492.34006583186766
2024-03-15,484.1000061035156,486.50343521570136
2024-03-16,488.3933410644531,488.7989317426826
2024-03-17,492.6866760253906,491.0159046876803
2024-03-18,496.9800109863281,493.1706007297228
2024-03-19,496.239990234375,490.79556377385984
2024-03-20,505.5199890136719,503.9279684298452
2024-03-21,507.760009765625,508.69874393208045
2024-03-22,509.5799865722656,508.1777264273127
2024-03-23,507.39332071940106,506.68322306200525
2024-03-24,505.2066548665365,505.1791586404562
2024-03-25,503.0199890136719,503.5899231819384
2024-03-26,495.8900146484375,501.89187541772077
2024-03-27,493.8599853515625,492.2126955787437
2024-03-28,485.5799865722656,488.4150684302745
2024-03-29,487.0224914550781,489.60265535109545
2024-03-30,488.4649963378906,490.7869114674029
2024-03-31,489.9075012207031,491.9510345643933
2024-04-01,491.3500061035156,493.23304287116594
2024-04-02,497.3699951171875,496.9691384175519
2024-04-03,506.739990234375,507.28798253871685
2024-04-04,510.9200134277344,523.1841198610307
2024-04-05,527.3400268554688,526.5514863541207
2024-04-06,524.6433512369791,525.4382060783706
2024-04-07,521.9466756184896,524.180065610914
2024-04-08,519.25,522.7699499718054
2024-04-09,516.9000244140625,513.1383010555047
2024-04-10,519.8300170898438,517.803655962761
2024-04-11,523.1599731445312,520.9681024721923
2024-04-12,511.8999938964844,514.2845234103888
2024-04-13,508.0099995930989,511.0385089147505
2024-04-14,504.1200052897136,507.61502707222974
2024-04-15,500.2300109863281,504.0288026373489
2024-04-16,499.760009765625,504.285246558936
2024-04-17,494.1700134277344,492.1347256532842
2024-04-18,501.7999877929688,510.4538779729995
2024-04-19,481.0700073242188,482.6627502195744
2024-04-20,481.29000854492193,481.3030148172314
2024-04-21,481.510009765625,480.07188102509843
2024-04-22,481.7300109863281,478.95319372554843
2024-04-23,496.1000061035156,495.5108443398511
2024-04-24,493.5,490.78408556350456
2024-04-25,441.3800048828125,437.6376305424531
2024-04-26,443.2900085449219,438.6712452261951
2024-04-27,439.73333740234375,435.78356703582665
2024-04-28,436.1766662597656,433.20497376070483
2024-04-29,432.6199951171875,430.839237184018
2024-04-30,430.1700134277344,437.3406051142386
2024-05-01,439.1900024414063,446.09157650228576
2024-05-02,441.6799926757813,439.1858449092594
2024-05-03,451.9599914550781,451.87394697872
2024-05-04,456.5333251953125,455.6406330266634
2024-05-05,461.1066589355469,459.39683738866916
2024-05-06,465.6799926757813,463.09520254909876
2024-05-07,468.239990234375,466.9844057445759
2024-05-08,472.6000061035156,473.4253160811825
2024-05-09,475.4200134277344,473.73537844843776
2024-05-10,476.2000122070313,472.47796429825314
2024-05-11,473.4700113932292,470.8400725655474
2024-05-12,470.7400105794271,469.16260792983877
2024-05-13,468.010009765625,467.63115450722546
2024-05-14,471.8500061035156,471.0700686115339
2024-05-15,481.5400085449219,480.5149026011967
2024-05-16,473.2300109863281,478.0053755815963
2024-05-17,471.9100036621094,473.3782160672929
2024-05-18,470.8866678873698,473.1324001648329
2024-05-19,469.8633321126302,472.7598069049938
2024-05-20,468.8399963378906,472.2946620657676
2024-05-21,464.6300048828125,468.0203049251188
2024-05-22,467.7799987792969,472.6256003031987
2024-05-23,465.7799987792969,466.81752069719647
2024-05-24,478.2200012207031,478.01432942226484
2024-05-25,478.64500427246094,478.66023689793826
2024-05-26,479.0700073242188,479.25841847260426
2024-05-27,479.49501037597656,479.8253946038426
2024-05-28,479.9200134277344,480.28727042492204
2024-05-29,474.3599853515625,479.63086953580626
2024-05-30,467.0499877929688,467.85906672329304
2024-05-31,466.8299865722656,461.39029941498245
2024-06-01,470.38332112630206,466.7273298339078
2024-06-02,473.93665568033856,472.1820248544749
2024-06-03,477.489990234375,477.71758158159
2024-06-04,476.989990234375,477.77466061033596
2024-06-05,495.05999755859375,495.5352858265887
2024-06-06,493.760009765625,500.5568479262184
2024-06-07,492.9599914550781,495.16860511151674
2024-06-08,496.173329671224,497.3459294021728
2024-06-09,499.3866678873698,499.58476520115096
2024-06-10,502.6000061035156,501.84688430422545
2024-06-11,507.4700012207031,505.71485711569574
2024-06-12,508.8399963378906,507.4771375568703
2024-06-13,504.1000061035156,506.5784445394937
2024-06-14,504.1600036621094,506.3060343540717
2024-06-15,504.98333740234375,506.29006071230754
2024-06-16,505.8066711425781,506.30064437189867
2024-06-17,506.6300048828125,506.3360651042805
2024-06-18,499.489990234375,500.189734208371
2024-06-19,500.5950012207031,500.76742238998077
2024-06-20,501.7000122070313,501.2183423532989
2024-06-21,494.7799987792969,496.4742584175537
2024-06-22,496.1566670735677,498.75466933593566
2024-06-23,497.53333536783856,501.1716581932489
2024-06-24,498.9100036621094,503.71165011063226
2024-06-25,510.6000061035156,508.3773203939324
2024-06-26,513.1199951171875,512.3868347992155
2024-06-27,519.5599975585938,522.1841264834295
2024-06-28,504.2200012207031,511.4900829045692
2024-06-29,504.3733317057292,506.94613652140487
2024-06-30,504.5266621907553,502.50313851323114
2024-07-01,504.6799926757813,498.1780656471743
2024-07-02,509.5,508.92204842190665
2024-07-03,509.9599914550781,511.6492405644136
2024-07-04,524.9349822998047,524.3456274016218
2024-07-05,539.9099731445312,536.6606556821698
2024-07-06,536.3799845377604,535.0891040848333
2024-07-07,532.8499959309896,533.2848890156947
2024-07-08,529.3200073242188,531.2461602987539
2024-07-09,530.0,533.3094049289466
2024-07-10,534.6900024414062,536.2171556851047
2024-07-11,512.7000122070312,517.435878229526
2024-07-12,498.8699951171875,504.8922222243254
2024-07-13,497.96666463216144,503.8943560469136
2024-07-14,497.0633341471354,502.9851275820679
2024-07-15,496.1600036621094,502.17520914402274
2024-07-16,489.7900085449219,492.49412818988617
2024-07-17,461.989990234375,465.72722491966834
2024-07-18,475.8500061035156,472.2126492334037
2024-07-19,476.7900085449219,485.4891721492299
2024-07-20,480.32667032877606,486.67452610554443
2024-07-21,483.8633321126302,488.0516656558699
2024-07-22,487.3999938964844,489.6423082330367
2024-07-23,488.6900024414063,493.1505012007094
2024-07-24,461.2699890136719,466.7394169435629
2024-07-25,453.4100036621094,447.67605745610376
2024-07-26,465.7000122070313,464.78062032867336
2024-07-27,465.7033386230469,466.404577452842
2024-07-28,465.7066650390625,468.2881748265205
2024-07-29,465.7099914550781,470.4133530772937
2024-07-30,463.1900024414063,465.68103690527096
2024-07-31,474.8299865722656,474.15782794064586
